Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Gunner,201,0,30,60,2,1,2,1,0,2,1.5,2,1,2,1,0,2,1.5,2,1,2,1,0,2,1.5
Gunner,202,0,30,60,2,1,2,2,0,2,1.75,2,1,2,2,0,2,1.75,2,1,1,2,0,2,1.5
Gunner,203,0,30,60,3,1,1,2,0,2,1.75,3,1,1,1,0,2,1.5,3,1,1,2,0,2,1.75
Gunner,204,0,30,60,4,2,4,3,0,2,3.25,4,2,3,2,0,2,2.75,3,2,3,2,0,2,2.5
Gunner,205,0,30,60,3,3,4,5,0,2,3.75,3,3,4,4,0,2,3.5,3,3,4,4,0,2,3.5
Gunner,206,0,30,60,3,4,3,4,0,2,3.5,2,3,2,4,0,2,2.75,2,3,2,4,0,2,2.75
Gunner,207,0,30,60,4,1,3,3,0,2,2.75,4,1,3,3,0,2,2.75,4,1,3,3,0,2,2.75
Gunner,208,0,30,60,5,2,3,4,0,2,3.5,4,3,3,4,0,2,3.5,4,3,2,4,0,2,3.25
Gunner,209,0,30,60,3,4,4,3,0,2,3.5,3,4,4,4,0,2,3.75,3,4,3,3,0,2,3.25
Gunner,210,0,30,60,2,2,2,2,0,2,2,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Gunner,411,0,30,60,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
Gunner,410,0,30,60,1,3,3,1,0,1,2,1,2,3,1,0,0,1.75,1,2,2,1,0,2,1.5
Gunner,409,0,30,60,3,4,3,3,0,2,3.25,3,3,3,2,0,2,2.75,2,2,3,2,0,2,2.25
Gunner,408,0,30,60,2,2,4,3,0,2,2.75,1,1,4,3,0,2,2.25,1,1,3,2,0,2,1.75
Gunner,407,0,30,60,1,1,3,1,0,2,1.5,1,1,3,1,0,2,1.5,1,1,2,1,0,2,1.25
Gunner,406,0,30,60,3,1,2,2,0,2,2,3,1,1,1,0,2,1.5,2,1,1,1,0,2,1.25
Gunner,405,0,30,60,2,1,3,3,0,0,2.25,1,1,3,3,0,2,2,1,1,2,2,0,2,1.5
Gunner,404,0,30,60,4,3,3,3,0,2,3.25,2,3,3,2,0,2,2.5,2,2,3,2,0,2,2.25
Gunner,403,0,30,60,4,1,3,3,0,2,2.75,4,1,2,3,0,2,2.5,4,1,2,2,0,2,2.25
Gunner,402,0,30,60,3,2,2,3,0,0,2.5,3,1,2,2,0,2,2,2,1,2,2,0,2,1.75
Gunner,401,0,30,60,4,1,3,2,0,0,2.5,3,1,1,2,0,2,1.75,1,1,1,2,0,2,1.25
Gunner,301,0,30,60,5,4,5,6,1,2,5,5,4,5,5,1,0,4.75,5,4,5,3,0,2,4.25
Gunner,302,0,30,60,3,1,3,2,0,2,2.25,3,1,3,2,0,2,2.25,3,1,2,2,0,2,2
