Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
Gunner,110,30,1,1,1,1,0,2
Gunner,110,60,1,1,1,1,0,2
Gunner,109,0,2,2,2,3,0,2
Gunner,109,30,3,3,2,2,1,2
Gunner,109,60,3,3,3,4,0,2
Gunner,108,0,3,2,2,2,0,2
Gunner,108,30,3,3,3,3,0,2
Gunner,108,60,3,3,2,3,0,2
Gunner,107,0,3,2,2,2,0,2
Gunner,107,30,3,3,3,3,0,2
Gunner,107,60,3,3,2,3,0,2
Gunner,106,0,3,2,2,2,0,2
Gunner,106,30,3,3,3,3,0,2
Gunner,106,60,3,3,2,3,0,2
Gunner,105,0,3,1,1,3,0,2
Gunner,105,30,3,2,2,3,0,2
Gunner,105,60,3,1,3,4,0,2
Gunner,104,0,4,1,2,1,0,2
Gunner,104,30,4,1,2,1,0,2
Gunner,104,60,4,1,2,1,0,2
Gunner,103,0,3,2,1,2,0,2
Gunner,103,30,3,2,1,2,0,2
Gunner,103,60,2,1,1,2,0,2
Gunner,102,0,1,1,4,2,0,2
Gunner,102,30,1,1,3,1,0,2
Gunner,102,60,1,1,2,1,0,2
Gunner,101,0,1,1,3,2,0,2
Gunner,101,30,1,1,2,2,0,2
Gunner,101,60,1,1,2,2,0,2
Gunner,201,0,2,1,2,1,0,2
Gunner,201,30,2,1,2,1,0,2
Gunner,201,60,2,1,2,1,0,2
Gunner,202,0,2,1,2,2,0,2
Gunner,202,30,2,1,2,2,0,2
Gunner,202,60,2,1,1,2,0,2
Gunner,203,0,3,1,1,2,0,2
Gunner,203,30,3,1,1,1,0,2
Gunner,203,60,3,1,1,2,0,2
Gunner,204,0,4,2,4,3,0,2
Gunner,204,30,4,2,3,2,0,2
Gunner,204,60,3,2,3,2,0,2
Gunner,205,0,3,3,4,5,0,2
Gunner,205,30,3,3,4,4,0,2
Gunner,205,60,3,3,4,4,0,2
Gunner,206,0,3,4,3,4,0,2
Gunner,206,30,2,3,2,4,0,2
Gunner,206,60,2,3,2,4,0,2
Gunner,207,0,4,1,3,3,0,2
Gunner,207,30,4,1,3,3,0,2
Gunner,207,60,4,1,3,3,0,2
Gunner,208,0,5,2,3,4,0,2
Gunner,208,30,4,3,3,4,0,2
Gunner,208,60,4,3,2,4,0,2
Gunner,209,0,3,4,4,3,0,2
Gunner,209,30,3,4,4,4,0,2
Gunner,209,60,3,4,3,3,0,2
